Id,SalePrice
1461,110299.79640427387
1462,148876.28528590224
1463,202914.73438799128
1464,200687.4544294677
1465,171821.90616700216
1466,205231.10554485582
1467,163536.42472129446
1468,188303.77786007663
1469,149945.37966599356
1470,109052.51962750066
1471,176900.10447243592
1472,118407.09545329968
1473,127761.67127909871
1474,187501.95707500813
1475,104954.32450381728
1476,265724.0292183562
1477,195341.98252901112
1478,209062.02707351636
1479,220109.33566779332
1480,297975.04301777756
1481,258240.36855771695
1482,179840.11401768704
1483,175741.91889400364
1484,159794.59439097485
1485,180196.4788110508
1486,212180.21901544937
1487,278285.88818442915
1488,199885.63364439923
1489,166298.25186986368
1490,188571.05145509946
1491,205587.47033821957
1492,120634.37541182326
1493,190887.42261196396
1494,267060.39719347033
1495,256013.08859919338
1496,190352.87542191832
1497,207458.3855033794
1498,164694.61029972672
1499,164694.61029972672
1500,167901.89344000065
1501,192491.06418210093
1502,154003.66649881355
1503,156805.40193824618
1504,222425.70682465783
1505,190709.24021528207
1506,220732.9740561799
1507,280067.712151248
1508,253567.71795312452
1509,177029.10396164027
1510,140234.43904683075
1511,138185.34148498907
1512,192312.88178541907
1513,215922.049345769
1514,211734.76302374466
1515,277038.61140765593
1516,196411.07690910244
1517,130968.95441937266
1518,200687.4544294677
1519,189640.14583519078
1520,132305.3223944868
1521,137918.06788996625
1522,171238.17606947897
1523,149589.01487262978
1524,125267.1177255523
1525,117070.72747818554
1526,118496.18665164063
1527,118228.9130566178
1528,139521.70946010321
1529,135156.240741397
1530,154756.30437640447
1531,194758.25243148793
1532,113863.4443379116
1533,150479.9268560392
1534,141927.17181530868
1535,175960.00958154895
1536,141392.624625263
1537,104597.9597104535
1538,197301.98889251187
1539,287155.09972766007
1540,258774.9157477626
1541,161438.14425197523
1542,174089.09441638913
1543,214714.6808598592
1544,98628.84942161033
1545,131325.31921273645
1546,137027.1559065568
1547,159923.5938801792
1548,156627.2195415643
1549,123128.92896536968
1550,194629.25294228358
1551,125623.48251891608
1552,205271.01383571923
1553,169456.3521026601
1554,148430.82929419752
1555,207012.92951167468
1556,139521.70946010321
1557,154489.03078138165
1558,112348.89396611556
1559,198321.90036512565
1560,207458.3855033794
1561,221000.24765120275
1562,109943.43161091009
1563,107448.87805736369
1564,152796.29801290372
1565,158765.40830174694
1566,162596.32983040749
1567,97827.02863654183
1568,234274.83620400325
1569,201222.00161951338
1570,126158.02970896174
1571,166872.70735077275
1572,134888.96714637417
1573,164823.60978893106
1574,173425.54773713913
1575,158141.76991336033
1576,218327.51170097446
1577,166654.61666322747
1578,186521.95389325777
1579,116447.08908979894
1580,208527.4798834707
1581,121881.65218859648
1582,108517.972437455
1583,234007.56260898043
1584,244698.5064098936
1585,106023.4188839086
1586,87492.44962899244
1587,118852.5514450044
1588,137027.1559065568
1589,130256.22483264512
1590,128118.03607246249
1591,116001.63309809423
1592,173247.36534045724
1593,106736.14847063614
1594,321187.9374939003
1595,178900.01912680006
1596,220505.6087520205
1597,251736.7110788281
1598,204963.83194983297
1599,122594.38177532401
1600,163892.78951465822
1601,78583.32979489813
1602,129098.03925421285
1603,115288.90351136668
1604,204429.28475978732
1605,228483.90831184195
1606,172267.36215870688
1607,267555.0360926526
1608,177701.9252575044
1609,165941.8870764999
1610,186432.8626949168
1611,143085.35739374094
1612,185185.58591814362
1613,177523.7428608225
1614,114665.26512298008
1615,127761.67127909871
1616,127761.67127909871
1617,127761.67127909871
1618,108339.79004077312
1619,104687.05090879445
1620,329077.14585538086
